hhold_ID,est_net_worth,est_inc,domestic,number_visits,number_children,oldest_child_age,dis_plus_sub,online_merch_avg,est_annual_travel,est_annual_leisure,est_hhold_FICO
167,723306,2617116,0,1,1,10.0,1,1671.0,497.0,456.0,756
168,90313,66180,1,1,4,14.0,0,760.0,2253.0,2259.0,710
169,110262,80485,1,2,1,11.0,1,762.0,3404.0,3144.0,741
170,284206,201740,1,6,1,13.0,1,1758.0,2890.0,4078.0,742
171,20293,17165,1,4,2,12.0,1,806.0,824.0,1028.0,730
172,42808,32500,1,1,5,10.0,0,790.0,1806.0,1055.0,738
173,3094,5045,1,4,2,13.0,1,814.0,956.0,90.0,731
174,638106,448045,1,3,1,13.0,0,1779.0,7948.0,8998.0,728
175,455899,324150,1,1,1,13.0,1,1737.0,7294.0,4988.0,743
176,45811,32815,1,2,1,13.0,0,806.0,1215.0,41.0,710
177,913093,641690,0,9,1,11.0,1,1756.0,18068.0,12989.0,771
178,986069,693035,1,3,2,14.0,1,1744.0,24116.0,14063.0,763
179,278859,197885,1,1,2,12.0,1,1880.0,4590.0,4237.0,739
180,2567448,1798565,1,1,2,12.0,1,1799.0,32691.0,34561.0,755
181,220781,157480,1,2,0,,1,1843.0,48395.0,3697.0,734
182,3319827,2324550,1,1,0,,1,1703.0,42317.0,42459.0,742
183,141204,77100,1,1,3,13.0,1,786.0,2568.0,2095.0,774
184,5654,7210,1,8,3,7.0,1,817.0,3970.0,1891.0,782
185,16024,14135,1,5,1,11.0,1,814.0,1215.0,1352.0,735
186,558487,393245,1,4,3,14.0,1,2073.0,11380.0,8847.0,703
187,473593,332970,1,7,2,11.0,1,1747.0,7719.0,6591.0,767
188,3767102,2638415,1,2,4,10.0,1,1845.0,48735.0,49831.0,719
189,769889,541445,1,1,1,10.0,0,1726.0,10521.0,10416.0,781
190,532089,374205,1,2,1,11.0,1,1816.0,7576.0,7442.0,783
191,813172,571305,1,2,2,12.0,1,1737.0,11206.0,10273.0,760
192,31035,25105,0,3,2,9.0,0,761.0,408.0,1226.0,753
193,81496,60035,1,2,1,10.0,1,790.0,1.0,2547.0,768
194,9102,9190,0,1,0,,0,782.0,3721.0,960.0,746
195,185287,122910,0,1,2,11.0,1,1850.0,3563.0,2629.0,806
196,95301,72665,1,5,1,13.0,0,752.0,15491.0,1775.0,759
197,21525,17425,1,0,2,13.0,1,797.0,1736.0,2672.0,718
198,267315,189885,0,2,2,9.0,1,1758.0,10408.0,4889.0,716
199,21663,18370,1,4,1,13.0,1,832.0,923.0,1891.0,732
200,46726,35815,1,4,2,12.0,0,801.0,1381.0,3793.0,759
201,205188,145405,1,1,3,18.0,1,1884.0,3286.0,2738.0,765
202,737883,518865,1,13,3,13.0,1,1907.0,3594.0,11045.0,759
203,646223,454865,0,1,0,,1,1793.0,8395.0,8754.0,794
204,46026,33510,1,1,0,,1,735.0,1499.0,1594.0,783
205,2612453,1830550,1,0,2,12.0,1,1811.0,33215.0,35149.0,732
206,314575,223025,0,2,2,11.0,1,1871.0,3185.0,1261.0,730
207,422895,297945,1,6,0,,1,1756.0,6056.0,8020.0,784
208,117197,84470,0,2,2,12.0,1,762.0,4877.0,3528.0,776
209,192728,137425,1,1,2,9.0,1,1799.0,48395.0,3266.0,744
210,55628,41735,1,0,0,,1,756.0,1978.0,2057.0,752
211,450244,318025,1,5,2,16.0,1,1728.0,7390.0,6547.0,687
212,817833,574805,1,5,1,12.0,1,1786.0,11527.0,11383.0,734
213,302869,214735,1,5,3,15.0,1,2153.0,6275.0,5188.0,682
214,252017,179880,1,1,3,15.0,1,1806.0,3520.0,3068.0,752
215,1374536,965370,1,1,2,12.0,1,1873.0,19796.0,18396.0,704
216,253426,180125,1,0,3,11.0,1,1822.0,3996.0,2765.0,764
217,16439,14015,1,10,4,8.0,1,1103.0,1481.0,1874.0,716
218,227517,161320,0,3,3,11.0,1,2500.0,5125.0,3457.0,705
219,388234,275075,1,3,3,14.0,1,2096.0,7994.0,4618.0,737
220,427065,301745,0,1,4,13.0,1,1838.0,6759.0,6156.0,692
221,4970,6475,1,0,1,13.0,0,767.0,4040.0,1415.0,744
222,385093,272260,0,17,2,9.0,1,1772.0,5093.0,5779.0,729
223,671927,472895,1,1,2,15.0,1,1804.0,9427.0,9481.0,737
224,73541,53625,0,1,1,15.0,1,720.0,2297.0,2301.0,756
225,2303753,1613765,0,0,2,11.0,1,1754.0,27881.0,31678.0,779
226,38536,29975,1,1,0,,1,787.0,3467.0,1877.0,759
227,27584,23615,0,1,3,14.0,0,794.0,3372.0,1422.0,764
228,116731,84605,1,2,3,11.0,1,823.0,5046.0,3295.0,754
229,849719,594640,0,5,2,11.0,0,1868.0,10758.0,11405.0,739
230,928104,659325,1,1,0,,1,1783.0,12259.0,13131.0,752
231,812000,571375,1,4,2,15.0,1,1820.0,9675.0,10389.0,741
232,6766004,4733035,1,1,1,13.0,1,1889.0,30749.0,28395.0,741
233,395328,279145,0,0,3,12.0,1,1721.0,6276.0,5684.0,756
234,94634,68555,1,0,4,7.0,1,755.0,1898.0,3022.0,743
235,109987,79690,0,4,3,12.0,1,782.0,5758.0,3580.0,736
236,258097,184030,1,2,1,15.0,0,1632.0,5497.0,3828.0,756
237,676956,475800,1,4,1,8.0,1,1811.0,8777.0,7605.0,767
238,111468,80845,1,2,2,9.0,1,785.0,2798.0,3142.0,742
239,2537195,711499,0,0,2,12.0,0,1850.0,1733.0,1594.0,749
240,48123,33450,1,1,3,11.0,0,755.0,532.0,2887.0,751
241,58934,44685,0,3,1,9.0,0,790.0,1290.0,1114.0,774
242,165699,128360,1,0,3,9.0,1,1740.0,3039.0,3092.0,745
243,63273,46495,1,15,2,12.0,1,749.0,2764.0,1500.0,773
244,9481,13685,1,1,2,15.0,0,789.0,351.0,1801.0,740
245,189955,135130,1,1,4,13.0,1,1742.0,3936.0,3364.0,721
246,188868,135310,1,3,1,13.0,1,1724.0,4072.0,66074.0,768
247,22395,35710,1,1,1,11.0,0,792.0,801.0,3567.0,737
248,210881,149965,1,1,3,11.0,1,1751.0,3339.0,3449.0,730
249,29461,23740,1,1,3,13.0,0,730.0,2075.0,1546.0,759
250,883600,620365,1,5,1,12.0,1,1795.0,12356.0,11912.0,779
251,34835,26530,1,0,1,9.0,0,810.0,1033.0,2558.0,708
252,478440,336670,1,0,3,10.0,1,1682.0,5723.0,7795.0,792
253,76428,55715,1,1,3,12.0,1,704.0,2479.0,2272.0,753
254,1080465,761335,0,3,3,14.0,1,2759.0,16622.0,16578.0,759
255,1763901,1236220,1,1,4,10.0,1,1788.0,23328.0,22984.0,764
256,267107,188920,0,2,1,13.0,1,1795.0,1278.0,4491.0,758
257,248590,177220,1,0,0,,1,1747.0,3851.0,1445.0,701
258,48221,36710,1,1,3,11.0,1,738.0,2033.0,2061.0,798
259,97194,70835,1,3,1,17.0,1,800.0,2960.0,3250.0,781
260,2943551,2060715,0,1,2,13.0,1,1737.0,40982.0,39520.0,757
261,152151,109505,1,0,3,11.0,0,734.0,3095.0,4057.0,753
262,10517,10400,1,7,1,14.0,0,773.0,2270.0,1331.0,814
263,31976,25410,0,5,1,9.0,1,810.0,1418.0,1044.0,703
264,420409,298040,1,2,1,12.0,0,1790.0,6818.0,4862.0,783
265,217238,154235,1,1,5,13.0,1,1749.0,3613.0,3491.0,718
266,125736,92505,1,4,3,12.0,1,1094.0,8898.0,4275.0,782
267,55250,41875,1,5,1,11.0,0,830.0,1627.0,1891.0,788
268,9249,1440,1,1,2,14.0,1,827.0,3428.0,696.0,736
269,4855,6155,1,2,1,10.0,1,810.0,1556.0,1225.0,737
270,1481978,1039830,1,3,3,8.0,1,2043.0,24995.0,19653.0,727
271,759447,533920,1,3,1,12.0,1,1705.0,15777.0,10760.0,746
272,443363,313135,1,5,3,9.0,0,2403.0,8891.0,7203.0,773
273,71201,52570,1,2,3,16.0,0,809.0,1806.0,1465.0,814
274,1077941,756595,0,0,1,13.0,1,1719.0,14597.0,14673.0,782
275,85894,63345,1,3,3,12.0,1,923.0,4612.0,3799.0,812
276,129033,93940,1,2,1,14.0,0,794.0,2316.0,3426.0,756
277,80079,57355,1,4,3,10.0,0,1011.0,4431.0,3853.0,769
278,176611,126435,1,1,3,10.0,0,1754.0,2870.0,2642.0,761
279,420944,297330,1,4,3,8.0,0,2121.0,8556.0,7100.0,773
280,5046,9970,1,1,3,9.0,1,838.0,1089.0,1077.0,762
281,198705,141405,0,6,3,13.0,1,2286.0,5328.0,3696.0,766
282,24121,21935,0,11,2,17.0,1,811.0,1212.0,1891.0,716
283,97016,71100,1,4,1,11.0,0,762.0,1760.0,2655.0,736
284,92030,67295,1,2,0,,1,785.0,2355.0,3118.0,739
285,5933490,1663807,0,2,2,12.0,1,1845.0,4050.0,3719.0,722
286,203420,146560,1,2,2,16.0,1,1728.0,3618.0,3022.0,715
287,12400,10860,0,0,2,14.0,1,817.0,1939.0,10227.0,706
288,433240,302845,1,2,3,11.0,0,1783.0,6317.0,18064.0,749
289,433717,306370,0,0,3,10.0,1,1820.0,6663.0,6309.0,755
290,35004,27490,0,5,1,12.0,0,784.0,966.0,1434.0,736
291,8470,9655,1,2,2,13.0,0,797.0,1229.0,1891.0,777
292,28531,24600,1,0,2,14.0,1,706.0,2724.0,1410.0,766
293,52555,39715,1,11,1,14.0,0,830.0,2745.0,2534.0,766
294,256876,181660,1,3,3,10.0,0,1976.0,6395.0,4889.0,776
295,10984,10695,0,5,1,12.0,0,771.0,4086.0,1604.0,785
296,105968,77175,0,2,2,9.0,0,801.0,1806.0,4095.0,753
297,31320,24775,0,7,2,12.0,1,740.0,1720.0,1138.0,744
298,193686,138345,1,3,3,10.0,1,2536.0,5055.0,1997.0,734
299,1838894,1288095,1,7,2,15.0,0,1790.0,22731.0,24659.0,771
300,2196,4985,0,6,2,12.0,1,800.0,1047.0,882.0,770
301,11616,11145,0,2,2,9.0,0,779.0,1215.0,521.0,687
302,6548249,4581765,0,2,3,12.0,1,1696.0,29813.0,27717.0,726
303,616,3860,1,4,2,10.0,1,741.0,601.0,1212.0,721
304,63971,48480,0,1,4,10.0,0,779.0,2218.0,2314.0,774
305,1552,3910,1,1,5,15.0,1,782.0,4451.0,3128.0,734
306,9760,10415,1,1,3,9.0,1,758.0,1407.0,492.0,766
307,97502,71695,1,2,1,9.0,0,781.0,729.0,4920.0,736
308,230481,164195,1,1,2,12.0,1,1834.0,4174.0,3481.0,752
309,22450,20450,0,1,4,12.0,0,804.0,981.0,1178.0,742
310,778838,547560,1,2,0,,1,1845.0,10259.0,10651.0,729
311,766663,539450,1,0,1,12.0,1,1777.0,11202.0,10172.0,746
312,45691,34905,0,1,3,15.0,1,780.0,2092.0,242.0,748
313,60261,45240,1,5,1,9.0,0,790.0,1590.0,1722.0,767
314,616545,435200,1,0,3,14.0,1,1809.0,8765.0,8988.0,684
315,105045,76710,1,4,2,11.0,0,795.0,2873.0,4345.0,742
316,952421,668725,0,1,1,14.0,0,1618.0,11953.0,10242.0,786
317,1262514,886330,0,2,2,13.0,1,1857.0,18858.0,19143.0,751
318,166645,119315,0,1,0,,1,782.0,4314.0,5029.0,784
319,112323,82210,1,7,4,11.0,1,906.0,4062.0,1627.0,687
320,186360,133345,1,1,3,9.0,1,1953.0,3528.0,3387.0,773
321,103440,76715,1,1,1,11.0,0,756.0,2417.0,3302.0,761
322,24311,20140,1,0,4,14.0,1,795.0,1521.0,462.0,747
323,258531,182805,1,1,3,12.0,1,1797.0,3618.0,9942.0,761
324,288971,205180,0,4,2,10.0,1,1742.0,4654.0,4627.0,720
325,1229284,863405,1,0,1,12.0,1,1740.0,16745.0,17369.0,716
326,75417,57895,1,1,2,10.0,0,742.0,20494.0,1891.0,706
327,15477,14695,1,1,1,12.0,1,783.0,334.0,1293.0,751
328,17900,13765,1,2,2,14.0,1,795.0,2830.0,791.0,734
329,759614,534010,0,6,3,11.0,1,2559.0,12190.0,11277.0,746
330,1322189,927775,1,4,1,10.0,1,1735.0,20428.0,18121.0,734
331,1681334,1179880,1,1,1,15.0,0,1705.0,22957.0,25414.0,757
332,468365,330960,1,1,2,13.0,0,1896.0,6823.0,6624.0,741
333,69324,50615,1,0,2,14.0,1,766.0,1310.0,2340.0,760
334,311832,221175,1,10,1,11.0,0,1811.0,12668.0,4556.0,750
335,175172,125950,1,2,1,9.0,1,1882.0,5858.0,3260.0,819
336,88686,63470,1,1,0,,1,793.0,1215.0,2101.0,710
337,34359,26870,1,1,3,9.0,1,736.0,1847.0,1924.0,752
338,540846,381605,1,0,3,13.0,1,1818.0,7432.0,21773.0,781
339,166294,117800,1,1,2,10.0,0,819.0,3653.0,4021.0,725
340,784365,552990,1,4,4,12.0,1,2199.0,12240.0,12306.0,768
341,412594,291375,1,2,4,14.0,1,1751.0,6321.0,25570.0,754
342,379266,268295,1,1,4,11.0,1,1820.0,5622.0,66074.0,727
343,228714,163320,0,1,2,16.0,1,1799.0,3496.0,3523.0,760
344,1851131,1297190,1,1,3,14.0,0,1889.0,24519.0,25066.0,766
345,605479,428100,1,1,2,13.0,0,1765.0,8031.0,8274.0,702
346,176275,126140,1,5,3,13.0,1,2438.0,48395.0,3648.0,741
347,588648,414790,1,2,0,,0,1797.0,10451.0,8467.0,772
348,1314758,922080,1,3,4,13.0,0,2396.0,19944.0,18762.0,731
349,82591,59755,1,2,2,12.0,0,769.0,2896.0,2166.0,745
350,43015,33290,1,2,3,13.0,1,783.0,3567.0,626.0,731
351,235800,168285,1,3,6,10.0,1,2444.0,6586.0,4271.0,744
352,3930,6065,1,1,1,12.0,1,809.0,1036.0,476.0,790
353,972267,682790,1,1,3,11.0,1,1845.0,11070.0,10761.0,709
354,3760344,2632240,0,5,3,10.0,1,1930.0,19263.0,50996.0,771
355,275422,195970,1,1,1,13.0,1,1751.0,4859.0,4485.0,765
356,522694,367390,0,1,3,12.0,1,1889.0,7742.0,7612.0,752
357,1240794,871105,1,1,1,10.0,1,1953.0,16907.0,12441.0,751
358,127217,92855,1,1,2,15.0,0,741.0,2887.0,3122.0,744
359,428606,302770,0,0,2,13.0,1,1731.0,6149.0,7260.0,726
360,192390,139785,0,11,4,13.0,0,2410.0,6170.0,4029.0,736
361,347449,247210,1,2,3,13.0,1,1809.0,7477.0,6467.0,753
362,93375,68225,0,5,1,13.0,0,781.0,2021.0,2552.0,757
363,230632,164605,1,1,1,16.0,1,1797.0,4423.0,3576.0,782
364,469248,330760,1,2,3,11.0,0,1777.0,7226.0,7963.0,779
365,18005,15565,0,1,3,13.0,0,757.0,861.0,1575.0,753
366,880042,618615,1,2,0,,1,1754.0,12418.0,12063.0,716
367,2905,5080,0,1,2,13.0,0,806.0,199.0,1891.0,750
368,517265,364780,0,0,4,14.0,0,1788.0,7690.0,7301.0,758
369,24844,20640,0,2,1,16.0,1,796.0,1215.0,715.0,744
370,2019893,1415595,1,1,2,11.0,1,1758.0,24563.0,27115.0,755
371,4671893,3271440,1,1,3,13.0,1,1795.0,23453.0,60846.0,752
372,950,3315,1,4,3,9.0,1,927.0,2640.0,1824.0,772
373,544887,383975,1,1,1,10.0,1,1664.0,7820.0,7127.0,764
374,5942,7460,1,1,2,9.0,1,757.0,1302.0,1248.0,790
375,32818,26940,1,4,4,15.0,0,1082.0,4066.0,10952.0,754
376,935624,656940,1,1,3,13.0,1,1696.0,13129.0,13096.0,725
377,8236,8475,0,4,2,12.0,1,761.0,1081.0,2208.0,782
378,11622,8585,0,3,2,11.0,0,787.0,2065.0,871.0,752
379,145425,104840,1,2,2,7.0,0,823.0,7321.0,2598.0,759
